cv,ct,hww,hzz,htt,hmm,hbb,hcc,hgg,hzg,hgluglu,hinv
1.5,-2.5,1.3802,1.3802,3.8338,3.8338,0.6134,0.6134,0.6134,0.6134,0.6134,0.0000
1.5,-2.0,1.5115,1.5115,2.6870,2.6870,0.6718,0.6718,0.6718,0.6718,0.6718,0.0000
1.5,-1.5,1.6322,1.6322,1.6322,1.6322,0.7254,0.7254,0.7254,0.7254,0.7254,0.0000
1.5,-1.333,1.6682,1.6682,1.3175,1.3175,0.7414,0.7414,0.7414,0.7414,0.7414,0.0000
1.5,-1.25,1.6851,1.6851,1.1702,1.1702,0.7489,0.7489,0.7489,0.7489,0.7489,0.0000
1.5,-1.0,1.7310,1.7310,0.7693,0.7693,0.7693,0.7693,0.7693,0.7693,0.7693,0.0000
1.5,-0.833,1.7570,1.7570,0.5419,0.5419,0.7809,0.7809,0.7809,0.7809,0.7809,0.0000
1.5,-0.75,1.7684,1.7684,0.4421,0.4421,0.7860,0.7860,0.7860,0.7860,0.7860,0.0000
1.5,-0.667,1.7788,1.7788,0.3517,0.3517,0.7906,0.7906,0.7906,0.7906,0.7906,0.0000
1.5,-0.5,1.7962,1.7962,0.1996,0.1996,0.7983,0.7983,0.7983,0.7983,0.7983,0.0000
1.5,-0.333,1.8089,1.8089,0.0891,0.0891,0.8039,0.8039,0.8039,0.8039,0.8039,0.0000
1.5,-0.25,1.8133,1.8133,0.0504,0.0504,0.8059,0.8059,0.8059,0.8059,0.8059,0.0000
1.5,-0.167,1.8165,1.8165,0.0225,0.0225,0.8073,0.8073,0.8073,0.8073,0.8073,0.0000
1.5,0.0,1.8191,1.8191,0.0000,0.0000,0.8085,0.8085,0.8085,0.8085,0.8085,0.0000
1.5,0.167,1.8165,1.8165,0.0225,0.0225,0.8073,0.8073,0.8073,0.8073,0.8073,0.0000
1.5,0.25,1.8133,1.8133,0.0504,0.0504,0.8059,0.8059,0.8059,0.8059,0.8059,0.0000
1.5,0.333,1.8089,1.8089,0.0891,0.0891,0.8039,0.8039,0.8039,0.8039,0.8039,0.0000
1.5,0.5,1.7962,1.7962,0.1996,0.1996,0.7983,0.7983,0.7983,0.7983,0.7983,0.0000
1.5,0.667,1.7788,1.7788,0.3517,0.3517,0.7906,0.7906,0.7906,0.7906,0.7906,0.0000
1.5,0.75,1.7684,1.7684,0.4421,0.4421,0.7860,0.7860,0.7860,0.7860,0.7860,0.0000
1.5,0.833,1.7570,1.7570,0.5419,0.5419,0.7809,0.7809,0.7809,0.7809,0.7809,0.0000
1.5,1.0,1.7310,1.7310,0.7693,0.7693,0.7693,0.7693,0.7693,0.7693,0.7693,0.0000
1.5,1.25,1.6851,1.6851,1.1702,1.1702,0.7489,0.7489,0.7489,0.7489,0.7489,0.0000
1.5,1.333,1.6682,1.6682,1.3175,1.3175,0.7414,0.7414,0.7414,0.7414,0.7414,0.0000
1.5,1.5,1.6322,1.6322,1.6322,1.6322,0.7254,0.7254,0.7254,0.7254,0.7254,0.0000
1.5,2.0,1.5115,1.5115,2.6870,2.6870,0.6718,0.6718,0.6718,0.6718,0.6718,0.0000
1.5,2.5,1.3802,1.3802,3.8338,3.8338,0.6134,0.6134,0.6134,0.6134,0.6134,0.0000
1.5,3.0,1.2477,1.2477,4.9909,4.9909,0.5545,0.5545,0.5545,0.5545,0.5545,0.0000
1.5,4.0,1.0028,1.0028,7.1307,7.1307,0.4457,0.4457,0.4457,0.4457,0.4457,0.0000
1.5,6.0,0.6424,0.6424,10.2785,10.2785,0.2855,0.2855,0.2855,0.2855,0.2855,0.0000
